,day,healthy,infected,sick,hospital,icu,dead,recovered
0,1,9999,1,0,0,0,0,0
1,2,9999,1,0,0,0,0,0
2,3,9999,1,0,0,0,0,0
3,4,9998,2,0,0,0,0,0
4,5,9998,2,0,0,0,0,0
5,6,9996,4,0,0,0,0,0
6,7,9996,4,0,0,0,0,0
7,8,9992,8,0,0,0,0,0
8,9,9991,9,0,0,0,0,0
9,10,9989,11,0,0,0,0,0
10,11,9987,13,0,0,0,0,0
11,12,9986,14,0,0,0,0,0
12,13,9986,14,0,0,0,0,0
13,14,9984,16,0,0,0,0,0
14,15,9981,19,0,0,0,0,0
15,16,9978,21,1,0,0,0,0
16,17,9976,23,1,0,0,0,0
17,18,9972,27,1,0,0,0,0
18,19,9969,29,2,0,0,0,0
19,20,9967,31,2,0,0,0,0
20,21,9961,35,4,1,0,0,0
21,22,9955,41,4,1,0,0,0
22,23,9951,41,8,2,0,0,0
23,24,9948,43,9,2,0,0,0
24,25,9943,46,11,2,0,0,0
25,26,9938,49,13,2,0,0,0
26,27,9931,55,14,2,0,0,0
27,28,9923,63,14,2,0,0,0
28,29,9913,71,15,2,0,0,1
29,30,9903,78,18,3,0,0,1
30,31,9900,78,21,3,0,0,1
31,32,9896,80,22,4,0,0,2
32,33,9887,85,26,4,0,0,2
33,34,9876,93,27,3,0,0,4
34,35,9867,100,29,3,0,0,4
35,36,9860,101,31,3,0,0,8
36,37,9850,105,36,4,0,0,9
37,38,9837,114,38,4,0,0,11
38,39,9820,128,39,7,0,0,13
39,40,9802,141,43,8,0,0,14
40,41,9790,148,48,9,0,0,14
41,42,9771,160,53,11,0,0,16
42,43,9757,166,58,12,0,0,19
43,44,9744,169,65,13,0,0,22
44,45,9733,170,73,13,0,0,24
45,46,9718,182,72,14,0,0,28
46,47,9696,200,73,16,0,0,31
47,48,9676,212,79,16,0,0,33
48,49,9648,228,85,16,0,0,39
49,50,9621,246,88,18,1,0,45
50,51,9595,265,91,19,1,0,49
51,52,9568,282,98,17,1,0,52
52,53,9535,302,106,19,1,0,57
53,54,9492,328,118,24,1,0,62
54,55,9458,344,129,27,1,0,69
55,56,9424,366,133,27,1,0,77
56,57,9383,388,142,30,2,0,87
57,58,9346,411,146,31,2,0,97
58,59,9312,432,156,32,2,0,100
59,60,9255,478,163,36,1,0,104
60,61,9208,510,169,41,1,0,113
61,62,9149,547,180,44,1,0,124
62,63,9095,580,192,47,1,0,133
63,64,9036,612,212,51,1,0,140
64,65,8990,631,229,56,1,0,150
65,66,8935,660,242,58,1,0,163
66,67,8858,710,252,61,0,0,180
67,68,8786,747,269,63,0,0,198
68,69,8712,780,298,69,0,0,210
69,70,8634,823,314,73,0,0,229
70,71,8546,878,333,75,0,0,243
71,72,8484,899,361,81,0,0,256
72,73,8401,945,387,89,0,0,267
73,74,8319,993,406,94,0,0,282
74,75,8218,1038,440,100,0,0,304
75,76,8127,1080,467,99,0,0,326
76,77,8040,1110,498,106,3,0,352
77,78,7944,1149,528,106,4,0,379
78,79,7859,1178,558,108,5,0,405
79,80,7767,1223,578,105,9,0,432
80,81,7659,1273,601,106,10,0,467
81,82,7552,1303,635,112,10,2,508
82,83,7419,1366,669,116,12,3,543
83,84,7306,1405,709,125,12,4,576
84,85,7176,1455,743,127,12,8,618
85,86,7049,1496,792,135,13,9,654
86,87,6950,1527,826,140,10,11,686
87,88,6834,1560,851,146,10,13,742
88,89,6715,1602,880,153,14,14,789
89,90,6584,1629,927,159,12,17,843
90,91,6449,1675,959,160,17,19,898
91,92,6320,1714,994,166,23,19,953
92,93,6198,1741,1043,174,23,21,997
93,94,6052,1798,1069,179,21,25,1056
94,95,5918,1839,1089,185,23,26,1128
95,96,5796,1856,1120,186,21,31,1197
96,97,5639,1902,1150,192,22,37,1272
97,98,5517,1892,1204,205,26,39,1348
98,99,5383,1914,1231,197,29,41,1431
99,100,5258,1904,1295,206,30,45,1498
100,101,5140,1893,1343,213,30,48,1576
101,102,4969,1972,1358,219,25,54,1647
102,103,4827,1990,1373,229,21,60,1750
103,104,4695,1999,1405,233,23,65,1836
104,105,4582,1976,1450,243,24,69,1923
105,106,4462,1970,1479,247,28,73,2016
106,107,4335,1968,1526,273,31,74,2097
107,108,4221,1951,1567,279,35,77,2184
108,109,4121,1916,1595,292,33,83,2285
109,110,4003,1890,1628,290,34,88,2391
110,111,3909,1860,1616,276,35,93,2522
111,112,3797,1820,1653,279,42,98,2632
112,113,3691,1788,1653,283,41,104,2764
113,114,3591,1765,1650,284,37,109,2885
114,115,3500,1727,1684,283,34,116,2973
115,116,3380,1718,1688,282,32,123,3091
116,117,3287,1662,1709,284,25,132,3210
117,118,3173,1621,1732,288,27,135,3339
118,119,3104,1561,1737,287,32,137,3461
119,120,3022,1524,1731,267,33,140,3583
120,121,2937,1480,1729,269,33,148,3706
121,122,2866,1435,1712,268,34,150,3837
122,123,2776,1406,1689,259,29,155,3974
123,124,2691,1376,1673,255,28,161,4099
124,125,2631,1321,1636,254,29,164,4248
125,126,2561,1296,1598,241,30,169,4376
126,127,2507,1237,1587,244,30,173,4496
127,128,2429,1213,1562,247,34,175,4621
128,129,2355,1194,1528,242,31,179,4744
129,130,2283,1171,1469,247,29,183,4894
130,131,2214,1122,1437,242,26,187,5040
131,132,2156,1073,1416,235,23,191,5164
132,133,2105,1026,1390,233,26,195,5284
133,134,2060,990,1347,221,27,197,5406
134,135,1989,983,1308,210,25,200,5520
135,136,1930,961,1273,222,23,202,5634
136,137,1901,911,1236,219,23,205,5747
137,138,1854,876,1204,221,15,211,5855
138,139,1795,853,1190,213,17,215,5947
139,140,1756,829,1139,203,18,217,6059
140,141,1714,808,1099,197,17,219,6160
141,142,1676,784,1071,193,17,222,6247
142,143,1646,751,1043,188,17,223,6337
143,144,1608,717,994,179,15,228,6453
144,145,1561,685,965,173,15,231,6558
145,146,1512,661,942,158,15,234,6651
146,147,1466,649,919,148,14,237,6729
147,148,1427,641,886,151,12,239,6807
148,149,1388,632,856,149,9,241,6883
149,150,1353,604,843,151,8,242,6958
150,151,1318,590,812,134,10,244,7036
151,152,1288,584,767,132,10,244,7117
152,153,1257,567,756,129,12,244,7176
153,154,1230,535,751,130,14,244,7240
154,155,1197,534,726,124,13,244,7299
155,156,1179,510,701,115,11,247,7363
156,157,1150,506,660,110,12,247,7437
157,158,1124,494,620,103,12,249,7513
158,159,1100,480,584,102,9,252,7584
159,160,1088,451,568,104,10,252,7641
160,161,1062,426,574,106,8,253,7685
161,162,1033,410,570,101,9,253,7734
162,163,1006,405,540,100,9,253,7796
163,164,983,385,539,100,12,253,7840
164,165,965,368,536,99,12,254,7877
165,166,945,361,516,95,11,254,7924
166,167,934,341,487,91,8,254,7984
167,168,922,316,492,93,6,254,8016
168,169,902,310,474,94,6,255,8059
169,170,878,308,466,93,6,255,8093
170,171,852,314,450,90,6,255,8129
171,172,851,285,441,92,6,255,8168
172,173,837,272,428,81,7,255,8208
173,174,829,259,397,77,4,256,8259
174,175,810,261,371,70,3,256,8302
175,176,806,237,366,66,3,256,8335
176,177,785,237,343,60,3,256,8379
177,178,775,218,338,61,2,257,8412
178,179,764,210,329,62,2,257,8440
179,180,750,203,320,57,2,257,8470
